employee_id,name,department,level,salary,years_experience,performance_score,gender,age,remote
EMP-0088,Employee 88,Engineering,Director,152378,11,4.2,Male,38,False
EMP-0089,Employee 89,Operations,Lead,118318,9,3.6,Male,53,True
EMP-0090,Employee 90,Finance,Senior,95606,23,3.4,Non-Binary,60,True
EMP-0091,Employee 91,Engineering,Manager,115079,14,2.9,Non-Binary,38,False
EMP-0092,Employee 92,HR,Junior,60906,16,3.1,Male,33,False
EMP-0093,Employee 93,Support,Manager,117824,10,4.2,Female,56,True
EMP-0094,Employee 94,Finance,Director,156303,24,3.7,Female,40,False
EMP-0095,Employee 95,Operations,Senior,88619,3,3.6,Male,26,True
EMP-0096,Employee 96,Sales,Junior,46621,3,3.5,Male,28,False
EMP-0097,Employee 97,Operations,Lead,117230,19,4.1,Male,38,False
EMP-0098,Employee 98,Sales,Manager,133522,2,2.0,Non-Binary,35,False
EMP-0099,Employee 99,Support,Junior,55337,25,3.9,Non-Binary,45,False
EMP-0100,Employee 100,Support,Senior,108213,1,4.5,Non-Binary,39,True
EMP-0101,Employee 101,Operations,Junior,49958,2,4.8,Male,55,True
EMP-0102,Employee 102,Operations,Mid,77421,12,2.6,Non-Binary,55,True
EMP-0103,Employee 103,Finance,Director,145862,17,4.2,Non-Binary,48,True
EMP-0104,Employee 104,Support,Director,158892,11,4.0,Male,49,True
EMP-0105,Employee 105,Support,Mid,78021,12,3.5,Non-Binary,32,False
EMP-0106,Employee 106,Marketing,Senior,103025,10,4.5,Non-Binary,48,False
EMP-0107,Employee 107,Support,Director,150598,19,2.7,Male,56,False
EMP-0108,Employee 108,Support,Manager,134398,8,3.1,Female,50,False
EMP-0109,Employee 109,Engineering,Director,141135,9,3.8,Male,55,False
EMP-0110,Employee 110,Engineering,Senior,92270,6,4.6,Non-Binary,23,False
EMP-0111,Employee 111,Finance,Manager,128229,18,4.8,Male,31,True
EMP-0112,Employee 112,HR,Senior,90115,4,2.8,Male,59,True
EMP-0113,Employee 113,Marketing,Senior,88011,18,3.2,Non-Binary,35,True
EMP-0114,Employee 114,Operations,Senior,100811,5,3.5,Male,58,False
EMP-0115,Employee 115,Engineering,Director,158883,12,2.2,Female,25,False
EMP-0116,Employee 116,Support,Lead,113648,3,4.6,Non-Binary,36,True
EMP-0117,Employee 117,Operations,Director,152533,1,2.9,Female,24,True
EMP-0118,Employee 118,Marketing,Manager,132864,7,2.5,Female,47,True
EMP-0119,Employee 119,Sales,Lead,109495,25,3.2,Female,30,True
EMP-0120,Employee 120,HR,Manager,134422,1,3.6,Male,38,False
EMP-0121,Employee 121,Finance,Lead,122867,4,4.3,Non-Binary,52,True
EMP-0122,Employee 122,HR,Lead,121372,18,2.6,Male,55,True
EMP-0123,Employee 123,Engineering,Senior,99092,10,4.1,Male,58,True
EMP-0124,Employee 124,Operations,Lead,113878,11,3.0,Female,42,True
EMP-0125,Employee 125,Support,Senior,90546,11,3.8,Non-Binary,50,True
EMP-0126,Employee 126,HR,Junior,47650,6,4.1,Non-Binary,31,True
EMP-0127,Employee 127,Engineering,Director,141787,7,4.8,Female,31,True
EMP-0128,Employee 128,Marketing,Director,143646,9,3.4,Female,23,True
EMP-0129,Employee 129,Operations,Manager,116942,6,3.6,Non-Binary,38,False
EMP-0130,Employee 130,Finance,Director,144631,22,4.1,Female,23,True
EMP-0131,Employee 131,Marketing,Mid,61969,9,2.6,Male,39,False
EMP-0132,Employee 132,Operations,Junior,42182,12,4.0,Male,45,True
EMP-0133,Employee 133,Marketing,Director,152665,7,4.9,Non-Binary,54,True
EMP-0134,Employee 134,Marketing,Lead,119565,17,2.3,Non-Binary,34,False
EMP-0135,Employee 135,Finance,Director,140704,1,2.7,Female,55,False
EMP-0136,Employee 136,HR,Lead,124392,5,2.1,Female,44,False
EMP-0137,Employee 137,Sales,Manager,119039,25,2.2,Female,38,True
EMP-0138,Employee 138,Finance,Senior,92391,4,3.0,Non-Binary,47,True
EMP-0139,Employee 139,Engineering,Director,152524,16,4.9,Female,36,True
EMP-0140,Employee 140,Finance,Mid,73974,9,4.7,Female,43,True
EMP-0141,Employee 141,Sales,Director,144540,18,3.6,Male,34,False
EMP-0142,Employee 142,Operations,Director,157164,4,3.3,Non-Binary,31,True
EMP-0143,Employee 143,Marketing,Junior,58262,17,4.8,Male,29,False
EMP-0144,Employee 144,Support,Mid,83824,0,4.3,Female,48,False
EMP-0145,Employee 145,HR,Director,160868,23,2.8,Male,34,True
EMP-0146,Employee 146,Sales,Junior,64983,19,3.9,Non-Binary,60,True
EMP-0147,Employee 147,Finance,Mid,67566,21,2.1,Non-Binary,27,False
EMP-0148,Employee 148,Sales,Manager,129815,15,4.1,Male,45,False
EMP-0149,Employee 149,HR,Lead,104506,5,2.6,Female,24,True
EMP-0150,Employee 150,Marketing,Lead,107292,23,4.0,Male,34,True
EMP-0151,Employee 151,Sales,Lead,120219,15,4.1,Male,51,False
EMP-0152,Employee 152,HR,Junior,59920,23,4.5,Female,42,True
EMP-0153,Employee 153,Finance,Junior,54798,14,4.5,Male,24,False
EMP-0154,Employee 154,Operations,Junior,58274,12,3.5,Male,25,False
EMP-0155,Employee 155,HR,Lead,109979,24,4.5,Male,51,False
EMP-0156,Employee 156,Marketing,Manager,111787,22,3.6,Female,31,False
EMP-0157,Employee 157,Engineering,Director,156405,3,2.5,Non-Binary,59,True
EMP-0158,Employee 158,HR,Lead,110599,14,2.1,Non-Binary,51,True
EMP-0159,Employee 159,HR,Junior,48194,10,4.1,Non-Binary,32,True
EMP-0160,Employee 160,Engineering,Junior,63141,14,3.9,Non-Binary,27,False
EMP-0161,Employee 161,Operations,Manager,130056,5,3.1,Male,46,True
EMP-0162,Employee 162,Marketing,Manager,131611,4,2.5,Male,31,True
EMP-0163,Employee 163,HR,Senior,95142,23,4.3,Female,50,True
EMP-0164,Employee 164,Engineering,Mid,66647,0,3.9,Male,38,False
EMP-0165,Employee 165,HR,Lead,117809,25,2.0,Male,53,True
EMP-0166,Employee 166,Finance,Director,155588,14,3.2,Non-Binary,27,True
EMP-0167,Employee 167,Sales,Manager,119113,19,3.9,Male,35,True
EMP-0168,Employee 168,Sales,Junior,61406,11,2.1,Non-Binary,24,False
EMP-0169,Employee 169,Marketing,Junior,41606,3,3.3,Male,33,False
EMP-0170,Employee 170,Finance,Director,162659,22,3.8,Male,57,False
EMP-0171,Employee 171,Operations,Manager,121802,1,2.3,Female,41,False
EMP-0172,Employee 172,HR,Junior,64852,13,4.5,Female,26,False
EMP-0173,Employee 173,Sales,Junior,62761,8,3.0,Non-Binary,48,True
EMP-0174,Employee 174,Operations,Mid,80055,1,2.3,Male,55,False
EMP-0175,Employee 175,Operations,Director,159817,25,5.0,Female,40,False
EMP-0176,Employee 176,Marketing,Manager,128846,19,3.1,Non-Binary,30,False
EMP-0177,Employee 177,Finance,Director,160704,15,3.5,Non-Binary,33,True
EMP-0178,Employee 178,Operations,Senior,91342,0,2.4,Non-Binary,51,True
EMP-0179,Employee 179,Operations,Mid,80162,13,3.2,Female,43,True
EMP-0180,Employee 180,Engineering,Director,146592,22,2.8,Female,26,False
EMP-0181,Employee 181,Finance,Manager,120614,24,2.0,Female,43,False
EMP-0182,Employee 182,Operations,Manager,130184,0,4.5,Female,34,False
EMP-0183,Employee 183,Operations,Lead,115548,25,2.1,Female,30,True
EMP-0184,Employee 184,Operations,Lead,117595,10,3.4,Non-Binary,48,True
EMP-0185,Employee 185,Support,Manager,119808,18,4.2,Non-Binary,42,True
EMP-0186,Employee 186,Sales,Manager,132462,10,4.4,Male,44,True
EMP-0187,Employee 187,Marketing,Junior,51113,12,3.9,Non-Binary,32,False
EMP-0188,Employee 188,Sales,Manager,113828,25,4.3,Non-Binary,42,True
EMP-0189,Employee 189,Marketing,Lead,102844,15,4.6,Female,45,False
EMP-0190,Employee 190,Sales,Manager,119906,5,2.3,Male,24,True
EMP-0191,Employee 191,HR,Manager,110817,25,3.4,Male,54,True
EMP-0192,Employee 192,Marketing,Lead,124000,16,2.9,Male,42,True
EMP-0193,Employee 193,Support,Manager,132174,4,2.6,Female,24,False
EMP-0194,Employee 194,Operations,Manager,113795,0,2.9,Non-Binary,24,True
EMP-0195,Employee 195,Marketing,Lead,101511,3,3.6,Male,41,False
EMP-0196,Employee 196,Operations,Mid,70514,6,2.6,Non-Binary,39,False
EMP-0197,Employee 197,Support,Lead,121991,3,2.8,Female,32,True
EMP-0198,Employee 198,Engineering,Manager,128337,16,2.3,Female,56,False
EMP-0199,Employee 199,Marketing,Mid,83080,25,2.8,Male,37,True
EMP-0200,Employee 200,Marketing,Manager,121099,17,3.3,Male,30,False
EMP-0201,Employee 201,Operations,Junior,43471,12,2.2,Female,49,True
EMP-0202,Employee 202,Operations,Manager,129423,20,4.5,Non-Binary,50,False
EMP-0203,Employee 203,Marketing,Senior,91492,22,4.3,Male,56,False
EMP-0204,Employee 204,Finance,Mid,63044,25,4.8,Male,51,False
EMP-0205,Employee 205,Marketing,Director,161116,22,4.3,Male,52,True
EMP-0206,Employee 206,Sales,Manager,118455,11,3.2,Female,43,False
EMP-0207,Employee 207,HR,Junior,42141,15,2.3,Female,52,True
EMP-0208,Employee 208,Marketing,Senior,104806,18,2.4,Female,28,True
EMP-0209,Employee 209,Marketing,Manager,131281,2,4.4,Female,56,False
EMP-0210,Employee 210,Finance,Lead,107817,19,2.7,Female,32,False
EMP-0211,Employee 211,Engineering,Senior,91823,22,3.8,Non-Binary,49,False
EMP-0212,Employee 212,Finance,Director,147738,5,4.0,Non-Binary,26,False
EMP-0213,Employee 213,Engineering,Manager,129532,14,3.0,Female,28,True
EMP-0214,Employee 214,Marketing,Lead,102280,19,2.3,Female,60,False
EMP-0215,Employee 215,HR,Director,161632,1,2.3,Non-Binary,30,True
EMP-0216,Employee 216,Support,Mid,81655,4,3.4,Female,40,False
EMP-0217,Employee 217,Sales,Mid,82331,10,2.9,Female,41,False
EMP-0218,Employee 218,Engineering,Manager,110266,19,5.0,Male,47,False
EMP-0219,Employee 219,Engineering,Senior,102985,1,2.0,Female,57,True
EMP-0220,Employee 220,Support,Senior,86021,7,3.3,Female,59,False
EMP-0221,Employee 221,Operations,Lead,113304,12,3.3,Non-Binary,35,True
EMP-0222,Employee 222,HR,Mid,66167,17,3.2,Female,45,True
EMP-0223,Employee 223,Marketing,Director,144113,4,2.0,Male,23,False
EMP-0224,Employee 224,Operations,Lead,104449,2,2.4,Female,48,False
EMP-0225,Employee 225,Finance,Mid,74889,16,3.3,Female,50,False
EMP-0226,Employee 226,Sales,Mid,73918,19,2.0,Non-Binary,53,True
EMP-0227,Employee 227,Operations,Manager,118822,13,4.8,Female,58,True
EMP-0228,Employee 228,Engineering,Manager,125835,22,3.1,Female,59,True
EMP-0229,Employee 229,Sales,Director,163963,16,5.0,Female,39,True
EMP-0230,Employee 230,Finance,Manager,112898,7,3.4,Non-Binary,26,False
EMP-0231,Employee 231,Finance,Junior,51257,17,4.3,Female,52,False
EMP-0232,Employee 232,Finance,Director,150863,13,3.1,Female,40,True
EMP-0233,Employee 233,Engineering,Director,159583,23,2.9,Female,58,True
EMP-0234,Employee 234,Operations,Lead,118944,5,3.7,Non-Binary,40,True
EMP-0235,Employee 235,Marketing,Lead,102703,4,3.5,Female,39,True
EMP-0236,Employee 236,Finance,Senior,94018,8,2.0,Non-Binary,29,True
EMP-0237,Employee 237,Finance,Director,144952,21,3.3,Female,33,True
EMP-0238,Employee 238,HR,Mid,77281,1,3.0,Male,27,True
EMP-0239,Employee 239,Support,Lead,124666,13,4.3,Non-Binary,37,False
EMP-0240,Employee 240,Operations,Director,145481,6,3.7,Male,44,False
EMP-0241,Employee 241,Support,Junior,41721,5,3.4,Female,52,False
EMP-0242,Employee 242,Operations,Manager,117656,12,4.1,Female,46,False
EMP-0243,Employee 243,Sales,Manager,124245,0,2.9,Female,50,False
EMP-0244,Employee 244,Finance,Director,141344,3,4.8,Female,44,False
EMP-0245,Employee 245,Marketing,Senior,93751,25,2.3,Female,59,False
EMP-0246,Employee 246,Support,Director,164546,7,4.2,Male,59,False
EMP-0247,Employee 247,Operations,Director,145895,10,3.6,Male,22,True
EMP-0248,Employee 248,HR,Junior,57211,3,4.1,Male,44,False
EMP-0249,Employee 249,Marketing,Mid,61115,0,3.9,Non-Binary,25,True
EMP-0250,Employee 250,Finance,Director,143990,22,4.9,Non-Binary,27,True
EMP-0251,Employee 251,HR,Director,161230,18,4.4,Male,33,True
EMP-0252,Employee 252,Marketing,Senior,100301,21,4.8,Female,51,False
EMP-0253,Employee 253,Operations,Director,150597,8,2.5,Female,26,True
EMP-0254,Employee 254,HR,Lead,110900,1,2.8,Male,38,False
EMP-0255,Employee 255,Engineering,Lead,106575,19,3.2,Male,53,True
EMP-0256,Employee 256,Finance,Lead,107156,19,3.9,Non-Binary,50,False
EMP-0257,Employee 257,Engineering,Junior,42389,2,3.7,Female,38,True
EMP-0258,Employee 258,HR,Mid,81393,20,2.0,Non-Binary,24,False
EMP-0259,Employee 259,Marketing,Mid,82939,10,4.7,Male,58,False
EMP-0260,Employee 260,HR,Lead,113235,23,4.3,Non-Binary,26,True
EMP-0261,Employee 261,Engineering,Lead,122585,24,3.4,Non-Binary,58,False
EMP-0262,Employee 262,Marketing,Director,149923,12,2.2,Female,27,False
EMP-0263,Employee 263,Engineering,Lead,124918,24,2.9,Male,34,True
EMP-0264,Employee 264,HR,Director,146258,9,4.1,Non-Binary,28,False
EMP-0265,Employee 265,HR,Junior,60735,14,4.2,Male,30,True
EMP-0266,Employee 266,Engineering,Director,159429,7,3.5,Non-Binary,26,False
EMP-0267,Employee 267,HR,Manager,124722,0,2.1,Female,25,True
EMP-0268,Employee 268,HR,Junior,46936,25,4.0,Female,55,True
EMP-0269,Employee 269,Operations,Manager,117634,2,2.1,Female,31,True
EMP-0270,Employee 270,HR,Manager,111500,7,4.1,Male,30,True
EMP-0271,Employee 271,Operations,Junior,50070,25,2.3,Non-Binary,32,True
EMP-0272,Employee 272,Support,Junior,43741,15,3.8,Male,36,True
EMP-0273,Employee 273,HR,Senior,109180,21,3.2,Non-Binary,29,True
EMP-0274,Employee 274,Marketing,Mid,61493,18,2.5,Male,26,False
EMP-0275,Employee 275,Sales,Lead,105506,22,3.1,Female,32,True
EMP-0276,Employee 276,Finance,Junior,44370,3,4.4,Male,46,True
EMP-0277,Employee 277,HR,Junior,40208,0,2.5,Non-Binary,27,False
EMP-0278,Employee 278,HR,Director,155597,22,2.4,Non-Binary,31,False
EMP-0279,Employee 279,Finance,Lead,113501,7,4.8,Non-Binary,24,True
EMP-0280,Employee 280,Operations,Lead,120055,2,3.9,Female,41,False
EMP-0281,Employee 281,Engineering,Manager,117721,6,2.4,Male,55,False
EMP-0282,Employee 282,Support,Manager,126631,7,3.4,Female,35,True
EMP-0283,Employee 283,Sales,Junior,44889,21,4.5,Female,52,True
EMP-0284,Employee 284,Sales,Director,141412,1,3.9,Male,40,False
EMP-0285,Employee 285,Marketing,Senior,105211,25,4.7,Male,51,True
EMP-0286,Employee 286,Operations,Junior,57608,5,2.5,Female,23,True
EMP-0287,Employee 287,Engineering,Mid,83638,14,3.8,Female,42,True
EMP-0288,Employee 288,Operations,Director,150672,7,4.3,Male,42,True
EMP-0289,Employee 289,Sales,Director,153519,6,3.1,Male,36,False
EMP-0290,Employee 290,Finance,Lead,101780,13,2.4,Male,51,False
EMP-0291,Employee 291,Marketing,Mid,74999,23,2.6,Female,44,True
EMP-0292,Employee 292,Marketing,Mid,61051,22,3.7,Male,39,True
EMP-0293,Employee 293,Support,Lead,115026,13,2.5,Male,43,False
EMP-0294,Employee 294,Finance,Mid,80905,19,4.7,Non-Binary,58,True
EMP-0295,Employee 295,Engineering,Lead,117097,15,4.6,Non-Binary,35,False
EMP-0296,Employee 296,Support,Lead,109147,0,4.2,Male,37,False
EMP-0297,Employee 297,HR,Manager,117287,18,4.8,Male,58,False
EMP-0298,Employee 298,Engineering,Junior,55422,23,4.3,Female,24,False
EMP-0299,Employee 299,HR,Director,143211,14,3.5,Non-Binary,27,True
EMP-0300,Employee 300,Operations,Director,153324,6,2.4,Male,40,True
